account_name,sector_guess,country,account_owner,crm_record_type,priority,contract_end_date,employee_count_band,start_engagement_by,notes
The University of Manchester,Education,England,Haidee Shaw,Prospect,,,,,
Nelson & Colne College Group,Education,England,Klaudia Mroz,Prospect,,,,,
University of Brighton,Education,England,Haidee Shaw,Prospect,,,,,
University of Lincoln,Education,England,Haidee Shaw,Prospect,,,,,
Sussex Coast College Hastings,Education,England,Marketo,Prospect,,,,,
Nescot College,Education,England,Marketo,Prospect,,,,,
Asquith Court Nurseries Ltd,Education,England,Marketo,Prospect,,,,,
Walsall College,Education,England,Marketo,Prospect,,,,,
York St John University,Education,England,Joshua Annerson,Prospect,,,,,
UCL,Unclassified,England,Eamonn Moore,Prospect,,,,,
University of Bristol,Education,England,Haidee Shaw,Prospect,,,,,
Stoke On Trent College,Education,England,Aidan Stone,Prospect,,,,,
John Innes Centre,Unclassified,England,BIS Administrator,Prospect,,,,,
Stanmore College,Education,England,Adam Mitchell-Whitcombe,Prospect,,,,,
St Aloysius College Glasgow,Education,Scotland,Marketo,Prospect,,,,,
"St Catherines College, Cambridge",Education,England,Marketo,Prospect,,,,,
The Isle Of Wight College,Education,England,Integration Cloudingo,Prospect,,,,,
The Royal Harbour Academy,Education,England,Marketo,Prospect,,,,,
Lancing College,Education,England,Laura Cottam,Prospect,,,,,
Leeds Conservatoire,Education,England,Haidee Shaw,Prospect,,,,,
Trent College,Education,England,Klaudia Mroz,Prospect,,,,,
Total People,Unclassified,England,Marketo,Prospect,,,,,
Ratcliffe College,Education,England,Klaudia Mroz,Prospect,,,,,
King's Bruton,Unclassified,England,Joshua Annerson,Prospect,,,,,
"Magdalen College, Oxford",Education,England,Marketo,Prospect,,,,,
Magdalen College School,Education,England,Marketo,Prospect,,,,,
Hurstpierpoint College,Education,England,Marketo,Prospect,,,,,
Framlingham College,Education,England,Daisy Watson,Prospect,,,,,
Epsom College,Education,England,Joshua Annerson,Prospect,,,,,
Craven College,Education,England,Marketo,Prospect,,,,,
Edge Hill University,Education,England,Haidee Shaw,Prospect,,,,,
Borders College,Education,Scotland,Daisy Watson,Prospect,,,,,
Leeds Arts University,Education,England,Eamonn Moore,Prospect,,,,,
Oise Ltd,Unclassified,England,Elliot Avery,Prospect,,,,,
Wycliffe College,Education,England,Joshua Annerson,Prospect,,,,,
Bolton School,Education,England,Daisy Watson,Prospect,,,,,
Leek College of Further Education,Education,England,Marketo,Prospect,,,,,
