account_name,sector,employees,employee_count_band,hr_product,payroll_product,current_supplier,hr_supplier,hr_product_renewal_date,finance_erp_renewal_date,payroll_product_renewal_date,contract_end_date,has_past_renewal_date_on_file,start_engagement_by,priority,notes
The University of Manchester,Education,12000,1000+,ResourceLink,ResourceLink,Zellis,Zellis,2017-01-08,,2017-01-08,,True,,,
Nelson & Colne College Group,Education,1000,1000+,Chris21,Chris21,Frontier,Frontier,,,,,False,,,
University of Brighton,Education,2300,1000+,ResourceLink,ResourceLink,Zellis,Zellis,,,,,False,,,
University of Lincoln,Education,1850,1000+,ResourceLink,ResourceLink,Zellis,Zellis,,,,,False,,,
Sussex Coast College Hastings,Education,658,400-1000,ResourceLink,ResourceLink,Zellis,Zellis,,,,,False,,,
Nescot College,Education,588,400-1000,,,CIPHR,CIPHR,2014-01-01,,2014-01-01,,True,,,
Asquith Court Nurseries Ltd,Education,2500,1000+,Opera,Opera,Pegasus,Pegasus,,,,,False,,,
Walsall College,Education,730,400-1000,,,Zellis,Zellis,2028-06-16,,,2028-06-16,False,2027-06-16,,
York St John University,Education,1200,1000+,,,,,,,,,False,,,
UCL,Education,1800,1000+,,,Oracle,Oracle,,,,,False,,,
University of Bristol,Education,8000,1000+,Unit4 Business Software,Unit4 Business Software,Agresso,Agresso,,,,,False,,,
Stoke On Trent College,Education,553,400-1000,Chris21,Chris21,Frontier,Frontier,,,,,False,,,
John Innes Centre,Education,900,400-1000,,,Jane Systems,Jane Systems,,,,,False,,,
Stanmore College,Education,250,100-400,,,Civica,Civica,2025-03-27,,2025-03-26,,True,,,
St Aloysius College Glasgow,Education,121,100-400,In House,Moorepay,Northgate,,,,,,False,,,
"St Catherines College, Cambridge",Education,250,100-400,In House,EARNIE,Intex,,,,,,False,,,
The Isle Of Wight College,Education,395,100-400,Chris21,Chris21,Frontier,Frontier,,,,,False,,,
The Royal Harbour Academy,Education,211,100-400,,,,,,,,,False,,,
Lancing College,Education,600,400-1000,PASS,PASS,WCBS,WCBS,,,,,False,,,
Leeds Conservatoire,Education,150,100-400,QLX,EARNIE,Intex,Agresso,,,,,False,,,
Trent College,Education,410,400-1000,PASS,PASS,WCBS,WCBS,,,,,False,,,
Total People,Education,250,100-400,World Service,World Service,SFP,SFP,,,,,False,,,
Ratcliffe College,Education,250,100-400,,,IRIS,,,,,,False,,,
King's Bruton,Education,350,100-400,PASS,PASS,WCBS,WCBS,,,,,False,,,
"Magdalen College, Oxford",Education,170,100-400,,,Cintra,Cintra,,,,,False,,,
Magdalen College School,Education,100,100-400,SIMS,SIMS,Capita,Capita,,,,,False,,,
Hurstpierpoint College,Education,300,100-400,PASS,PASS,WCBS,WCBS,,,,,False,,,
Framlingham College,Education,300,100-400,Oasis,Oasis,FSI,FSI,,,,,False,,,
Epsom College,Education,550,400-1000,,,,,,,,,False,,,
Craven College,Education,401,400-1000,,,Civica,Civica,2028-04-01,,2028-04-01,2028-04-01,False,2027-04-01,,
Edge Hill University,Education,5000,1000+,ResourceLink,ResourceLink,Zellis,Zellis,,,,,False,,,
Borders College,Education,401,400-1000,Chris21,Chris21,Frontier,Frontier,2025-03-04,,2025-03-04,,True,,,
Leeds Arts University,Education,300,100-400,,,SAP,SAP,,,,,False,,,
Oise Ltd,Education,200,100-400,,,,,,,,,False,,,
Wycliffe College,Education,360,100-400,PASS,PASS,WCBS,WCBS,,,,,False,,,
Bolton School,Education,248,100-400,PASS,PASS,WCBS,WCBS,,,,,False,,,
Leek College of Further Education,Education,260,100-400,ResourceLink,ResourceLink,Northgate,Northgate,,,,,False,,,
Worcester Sixth Form College,Education,250,100-400,,Unknown Product,Other LA,CIPHR,,,,,False,,,
Tameside College,Education,550,400-1000,Chris21,Chris21,Frontier,Frontier,2011-12-06,,2011-12-06,,True,,,
Garibaldi College,Education,121,100-400,In House,Unknown Product,Other LA,,,,,,False,,,
Goldsmiths University Of London,Education,2000,1000+,Unit4 Business Software,Unit4 Business Software,Unit4,Unit4,2029-12-01,,2025-12-01,2029-12-01,True,2027-12-01,,
Arts University Plymouth,Education,200,100-400,,,,Access,,,,,False,,,
University of Westminster,Education,1956,1000+,Unknown Product,Unknown Product,SAP,SAP,,,,,False,,,
Swansea University,Education,2700,1000+,,,Unit4,Unit4,,,,,False,,,
Aberystwyth University,Education,2200,1000+,Unknown Product,Unknown Product,Agresso,Agresso,,,,,False,,,
Ulster University,Education,2461,1000+,PeopleXD,Access,Access Group,Access,2027-07-10,,2027-07-10,2027-07-10,False,2025-07-10,,
Durham University,Education,3501,1000+,,,Oracle,Oracle,,,,,False,,,
University of Buckingham,Education,793,400-1000,,,TechOne,TechOne,2028-07-14,,,2028-07-14,False,2027-07-14,,
University of Birmingham,Education,6640,1000+,Unknown Product,Unknown Product,Oracle,Oracle,,,,,False,,,
Northumbria University,Education,3500,1000+,Unknown Product,,Oracle,Oracle,,,,,False,,,
University of Chester,Education,2469,1000+,ResourceLink,ResourceLink,Zellis,Zellis,,,,,False,,,
Truro College,Education,1310,1000+,ResourceLink,ResourceLink,Zellis,Zellis,,,,,False,,,
Colchester Institute,Education,791,400-1000,,Unknown Product,Cintra,HiBob,2026-01-22,,,,True,,,
Dublin City University,Education,1577,1000+,Unknown Product,Unknown Product,Core International,Core International,,,,,False,,,
Gr?p Llandrillo Menai,Education,1670,1000+,Unknown Product,Unknown Product,Zellis,Zellis,,,,,False,,,
University of Cumbria,Education,2000,1000+,ResourceLink,ResourceLink,Zellis,Zellis,2027-07-31,,2027-07-31,2027-07-31,False,2025-07-31,,
De Montfort University,Education,1896,1000+,,,SAP,SAP,,,,,False,,,
Hartpury University And Hartpury College,Education,650,400-1000,Access,Access,Access Group,Access,,,,,False,,,
New College Pontefract,Education,200,100-400,,SnowdropKCS,Sage,,,,,,False,,,
